,titles,prices
0,"
							Exocet RS2 - Flotteur 2012 occasion
						","
										
										340,00 €									"
1,"
							JP Australia Slalom V 54 Pro - Flotteur...
						","
										
										350,00 €									"
2,"
							Tabou 3S 76 - Flotteur occasion 2013
						","
										
										500,00 €									"
3,"
							Fanatic Blast HRS 100 - Flotteur 2020...
						","
										
										980,00 €									"
4,"
							Fanatic Freewave 95 CWS - Flotteur 2020...
						","
										
										1 020,00 €									"
5,"
							Fanatic Freewave 105 CWS - Flotteur 2020...
						","
										
										1 150,00 €									"
6,"
							Fanatic Freewave 95 TE - Flotteur 2020...
						","
										
										1 600,00 €									"
7,"
							Fanatic Falcon 97 - Flotteur slalom 2020...
						","
										
										1 770,00 €									"
8,"
							Fanatic Falcon 80 - Flotteur slalom 2020...
						","
										
										1 770,00 €									"
9,"
							Fanatic Falcon 90 - Flotteur slalom 2020...
						","
										
										1 770,00 €									"
